id,scan,input_psnr,input_ssim,psnr,ssim,split
train_0154,21,11.2476,0.8379,22.8972,0.9179,train
train_0155,1,17.8566,0.7752,22.7986,0.8916,train
train_0156,25,16.9581,0.8546,22.0433,0.8923,train
train_0157,45,11.3272,0.8125,23.1879,0.9234,train
train_0158,26,12.152,0.8091,25.6164,0.937,train
train_0159,14,10.6192,0.8739,28.3695,0.9659,train
train_0160,24,16.6064,0.9287,29.1299,0.971,train
train_0161,29,13.7338,0.825,25.9846,0.9529,train
train_0162,37,15.4859,0.8086,23.6843,0.9319,train
train_0163,34,14.665,0.8099,23.6073,0.9194,train
train_0164,6,10.7078,0.7947,24.1847,0.9318,train
train_0165,37,14.8974,0.8177,25.4876,0.9523,train
train_0166,34,9.3722,0.7682,24.8115,0.9377,train
train_0167,41,7.6792,0.7553,25.9045,0.943,train
train_0168,46,13.0143,0.8357,21.6411,0.9033,train
train_0169,28,16.1104,0.8078,22.4917,0.8896,train
train_0170,18,13.9287,0.8055,21.8538,0.8935,train
train_0171,29,10.1922,0.7736,23.0756,0.9045,train
train_0172,1,16.031,0.7386,20.3894,0.8366,train
train_0173,18,17.634,0.84,26.2864,0.9616,train
train_0174,19,19.6516,0.8431,20.753,0.8679,train
train_0175,2,9.9338,0.8079,24.2393,0.9327,train
train_0176,30,11.4627,0.8221,23.23,0.9125,train
train_0177,24,24.5613,0.9483,31.0747,0.9796,train
train_0178,47,12.4367,0.8243,25.4276,0.9471,train
train_0179,30,14.7893,0.8591,22.4648,0.8968,train
train_0180,36,18.0649,0.832,25.0029,0.9393,train
train_0181,46,19.4587,0.8593,20.9188,0.8864,train
train_0182,18,14.5686,0.8227,25.7131,0.9563,train
train_0183,48,18.0394,0.9237,27.8031,0.9707,train
train_0184,47,16.6163,0.8275,20.9575,0.8439,train
train_0185,3,11.6969,0.8209,27.5576,0.9639,train
train_0186,26,9.3623,0.7829,26.1183,0.945,train
train_0187,32,14.2378,0.8572,25.5237,0.9462,train
train_0188,48,19.3794,0.9245,28.3327,0.9753,train
train_0189,28,12.3646,0.778,22.5732,0.8963,train
train_0190,50,16.9632,0.8176,23.5296,0.9152,train
train_0191,42,9.2588,0.7727,26.2385,0.9555,train
train_0192,29,18.1086,0.834,22.6639,0.8937,train
train_0193,6,16.3102,0.8426,25.3602,0.9444,train
train_0194,25,16.221,0.8489,21.3744,0.8797,train
train_0195,31,19.251,0.8478,25.9011,0.9438,train
train_0196,29,6.9686,0.6936,22.1223,0.8847,train
train_0197,9,18.572,0.7979,20.9459,0.8487,train
train_0198,8,15.702,0.8349,23.9432,0.9282,train
train_0199,36,15.6376,0.7856,22.2836,0.8991,train
val_0000,13,15.7813,0.8244,24.0001,0.9004,val
val_0001,13,14.5715,0.8089,21.5224,0.8521,val
val_0002,23,8.872,0.8082,25.4779,0.9459,val
val_0003,27,14.8568,0.8209,21.1338,0.8682,val
val_0004,27,15.2133,0.8236,22.863,0.9069,val
val_0005,10,12.8611,0.8411,25.4,0.941,val
val_0006,27,13.3705,0.842,26.0814,0.9558,val
val_0007,22,18.1272,0.8559,22.2697,0.9085,val
val_0008,22,6.9139,0.7147,22.3368,0.9084,val
val_0009,27,11.9712,0.808,22.9513,0.9125,val
val_0010,13,16.7993,0.8396,23.3788,0.8911,val
val_0011,10,19.0883,0.8951,28.3095,0.9661,val
val_0012,10,6.3555,0.7026,26.6972,0.9583,val
val_0013,23,17.4933,0.8862,26.0223,0.9553,val
val_0014,22,12.5559,0.8294,22.4811,0.9154,val
val_0015,10,10.1367,0.8018,23.6848,0.9214,val
val_0016,27,9.4967,0.7688,21.7091,0.8779,val
val_0017,22,10.8617,0.8014,23.7646,0.9378,val
val_0018,22,12.8396,0.8398,24.0599,0.9385,val
val_0019,22,9.0224,0.7914,24.9841,0.9543,val
val_0020,23,13.4927,0.8686,25.4708,0.9486,val
val_0021,13,19.4339,0.8419,21.5407,0.8602,val
val_0022,13,11.6785,0.8074,24.2154,0.9077,val
val_0023,22,18.5947,0.8445,21.1212,0.8732,val
val_0024,13,19.3956,0.8443,24.8784,0.9155,val
val_0025,22,8.6804,0.7734,23.5873,0.9325,val
val_0026,10,21.1037,0.8682,27.4008,0.962,val
val_0027,10,18.7544,0.8675,27.21,0.9612,val
val_0028,22,18.821,0.8684,23.2544,0.928,val
val_0029,22,19.1724,0.8543,22.2635,0.9074,val
val_0030,23,21.0224,0.8984,24.398,0.9279,val
val_0031,22,15.545,0.8486,23.3779,0.9331,val
val_0032,22,20.4102,0.8594,21.9544,0.9006,val
val_0033,13,11.5532,0.7958,21.4848,0.8453,val
val_0034,27,6.5004,0.6807,23.7033,0.9249,val
val_0035,23,20.7412,0.8875,25.7907,0.9503,val
val_0036,27,19.6994,0.8414,20.6688,0.8529,val
val_0037,27,12.5556,0.8367,26.7291,0.9635,val
val_0038,13,21.6099,0.8532,24.1342,0.9076,val
val_0039,27,8.1581,0.7389,22.531,0.9052,val
val_0040,27,15.945,0.8294,21.9576,0.8874,val
val_0041,22,7.7318,0.7411,23.9015,0.9384,val
val_0042,23,21.2031,0.8923,24.3676,0.9274,val
val_0043,23,20.7314,0.9,23.3553,0.9121,val
val_0044,27,19.1468,0.8429,22.9395,0.9095,val
val_0045,23,8.9375,0.8142,25.3079,0.9415,val
val_0046,13,10.2197,0.7877,23.1912,0.8946,val
val_0047,13,19.65,0.8495,23.4251,0.8923,val
val_0048,27,10.5656,0.7942,24.5552,0.9388,val
val_0049,10,16.545,0.8401,23.5109,0.9055,val
val_0050,10,10.6103,0.8312,29.2569,0.9741,val
val_0051,13,13.6021,0.8174,24.2013,0.9034,val
val_0052,22,8.1728,0.7505,21.0692,0.8857,val
val_0053,10,21.8387,0.8915,27.7266,0.9633,val
val_0054,27,14.0958,0.8145,19.7879,0.8228,val
val_0055,22,18.5185,0.8732,24.4218,0.9483,val
val_0056,10,21.069,0.8718,25.4724,0.9479,val
val_0057,27,7.6326,0.7183,21.7645,0.8952,val
val_0058,23,16.5239,0.887,25.9721,0.9533,val
val_0059,22,20.0212,0.8683,24.4444,0.9471,val
val_0060,13,20.9809,0.8338,22.3656,0.8647,val
val_0061,10,20.4116,0.8708,21.1032,0.8742,val
val_0062,13,19.4063,0.8358,20.7669,0.8435,val
val_0063,27,15.9934,0.826,23.4939,0.9222,val
val_0064,13,14.8537,0.818,23.6979,0.8983,val
val_0065,22,14.3238,0.8455,22.97,0.9218,val
val_0066,22,17.0312,0.8651,24.3882,0.9453,val
val_0067,23,21.5726,0.8909,23.3818,0.9145,val
val_0068,13,17.6004,0.8318,23.2633,0.8897,val
val_0069,27,16.2161,0.83,21.9774,0.8938,val
val_0070,13,6.9411,0.6918,23.6339,0.8927,val
val_0071,10,8.554,0.7731,26.729,0.9602,val
val_0072,22,17.2118,0.8559,22.4177,0.9125,val
val_0073,23,17.705,0.9056,26.494,0.96,val
val_0074,23,19.8509,0.8917,22.7069,0.9001,val
val_0075,10,14.2318,0.8459,27.7557,0.9668,val
val_0076,13,4.6158,0.5845,22.175,0.8681,val
val_0077,22,17.5122,0.852,21.9598,0.9036,val
val_0078,22,10.507,0.803,23.3505,0.9312,val
val_0079,22,9.7127,0.7861,22.2212,0.9079,val
val_0080,22,5.168,0.6384,22.4687,0.914,val
val_0081,27,8.7151,0.7562,20.8094,0.8547,val
val_0082,13,6.8394,0.699,22.0537,0.8687,val
val_0083,13,13.2713,0.8185,22.3221,0.8683,val
val_0084,13,18.8002,0.8352,24.2915,0.9035,val
val_0085,10,12.1731,0.8325,24.4644,0.925,val
val_0086,13,17.5871,0.8309,24.2154,0.8996,val
val_0087,27,17.1404,0.8296,24.2861,0.9347,val
val_0088,13,14.1829,0.8212,21.5136,0.8552,val
val_0089,13,5.9429,0.6522,24.1763,0.9127,val
val_0090,13,18.7831,0.8377,23.2756,0.8847,val
val_0091,27,10.4414,0.7924,23.2179,0.9188,val
val_0092,10,15.8884,0.8742,27.9225,0.9647,val
val_0093,13,15.0877,0.8251,23.6483,0.8922,val
val_0094,10,13.6129,0.8424,23.8772,0.9196,val
val_0095,22,20.1054,0.8623,22.1132,0.9024,val
