id,scan,corner_err,corner_pct,corner_worst,pck,quad_iou,baseline_corner_err,split
test_0118,35,4.2377,1.1705,6.625,1,0.9127,28.0026,test
test_0119,49,6.9202,1.9115,8.4042,0,0.8751,2.4586,test
test_0120,11,3.1526,0.8708,3.9275,1,0.9564,2.4415,test
test_0121,33,4.9116,1.3567,8.673,0,0.9354,2.3609,test
test_0122,11,4.1322,1.1414,7.4655,0,0.9373,21.7262,test
test_0123,39,4.6352,1.2803,8.3315,0,0.9659,2.4128,test
test_0124,49,3.5531,0.9814,5.1617,1,0.9635,1.9552,test
test_0125,39,4.4977,1.2423,6.954,1,0.9359,77.2928,test
test_0126,11,4.9188,1.3586,5.5523,1,0.9455,5.5848,test
test_0127,35,4.9084,1.3558,8.2372,0,0.9508,2.8345,test
test_0128,11,3.4863,0.963,6.2729,1,0.9347,97.7639,test
test_0129,35,7.0603,1.9501,9.4111,0,0.9322,15.5585,test
test_0130,39,2.0885,0.5769,3.0557,1,0.972,2.426,test
test_0131,35,5.8,1.602,9.2346,0,0.9447,2.7053,test
test_0132,49,3.1944,0.8823,5.678,1,0.9534,2.1242,test
test_0133,39,6.0602,1.6739,10.5077,0,0.9108,2.3384,test
test_0134,39,5.1341,1.4181,8.4495,0,0.9337,2.1809,test
test_0135,49,4.6807,1.2929,9.8605,0,0.951,94.5631,test
test_0136,11,4.228,1.1678,7.0657,1,0.9197,2.3767,test
test_0137,49,5.2993,1.4638,7.4858,0,0.9457,2.2322,test
test_0138,35,5.2321,1.4452,7.7766,0,0.92,122.5707,test
test_0139,39,7.1642,1.9789,9.2901,0,0.8541,20.9355,test
test_0140,39,5.3316,1.4727,8.1316,0,0.9452,2.7262,test
test_0141,35,7.6249,2.1061,12.4233,0,0.9041,81.9035,test
test_0142,49,4.148,1.1457,5.7347,1,0.9531,102.4382,test
test_0143,49,3.4472,0.9522,6.4559,1,0.9415,2.1891,test
test_0144,35,5.347,1.4769,7.3122,0,0.9083,106.8878,test
test_0145,11,4.8172,1.3306,8.5876,0,0.9605,56.755,test
test_0146,35,5.751,1.5885,8.9966,0,0.9317,2.3429,test
test_0147,33,5.8679,1.6208,7.9684,0,0.9382,105.5988,test
test_0148,35,4.3761,1.2087,6.9329,1,0.9226,93.7599,test
test_0149,49,3.4005,0.9393,6.9585,1,0.9556,2.1085,test
test_0150,33,4.7307,1.3067,6.0087,1,0.9293,2.3103,test
test_0151,35,3.074,0.8491,5.7147,1,0.9445,101.4688,test
test_0152,33,6.9159,1.9103,10.3454,0,0.8852,2.6647,test
test_0153,33,21.1118,5.8314,43.7006,0,0.7997,69.014,test
test_0154,33,4.068,1.1236,5.6223,1,0.9601,2.4675,test
test_0155,39,6.5137,1.7992,11.1376,0,0.9397,69.0667,test
test_0156,11,6.5091,1.7979,7.7229,0,0.8989,2.9289,test
test_0157,33,4.7699,1.3175,7.4158,0,0.9246,2.4477,test
test_0158,11,6.5793,1.8173,8.1769,0,0.8897,2.5069,test
test_0159,39,4.5723,1.2629,6.3048,1,0.9526,5.5384,test
test_0160,35,10.5499,2.914,13.6762,0,0.8798,101.0278,test
test_0161,35,6.5251,1.8023,8.6598,0,0.9395,57.7778,test
test_0162,49,4.5835,1.266,6.503,1,0.9678,2.3616,test
test_0163,35,5.0722,1.401,6.616,1,0.9207,67.5294,test
test_0164,11,4.7672,1.3168,7.7426,0,0.9283,2.4623,test
test_0165,33,16.9543,4.683,25.6733,0,0.8776,84.6903,test
test_0166,39,3.3145,0.9155,5.9297,1,0.9529,83.4524,test
test_0167,11,5.1086,1.4111,5.9373,1,0.9112,106.3736,test
test_0168,39,3.5145,0.9708,4.7691,1,0.9566,93.3422,test
test_0169,49,2.4959,0.6894,4.6529,1,0.9549,2.0031,test
test_0170,39,3.2517,0.8982,4.2039,1,0.9577,81.7353,test
test_0171,11,5.8148,1.6061,8.4511,0,0.9191,105.2327,test
test_0172,33,10.0248,2.769,17.8173,0,0.8217,113.4597,test
test_0173,35,6.3732,1.7604,7.9178,0,0.9274,5.1536,test
test_0174,35,7.0886,1.958,12.2613,0,0.9313,50.5324,test
test_0175,33,6.5436,1.8074,12.2871,0,0.9326,96.5223,test
test_0176,35,12.6496,3.494,21.2105,0,0.8347,135.615,test
test_0177,49,9.2955,2.5675,14.9184,0,0.8847,110.0982,test
test_0178,35,3.6461,1.0071,9.0264,0,0.946,62.8264,test
test_0179,49,2.8574,0.7893,4.2715,1,0.969,4.9755,test
test_0180,33,3.0435,0.8407,4.3539,1,0.9589,79.4401,test
test_0181,39,2.5859,0.7143,3.285,1,0.9512,2.282,test
test_0182,35,2.9358,0.8109,4.5068,1,0.9559,2.4574,test
test_0183,33,2.5822,0.7132,4.0219,1,0.9627,2.4992,test
test_0184,49,3.5531,0.9814,6.5318,1,0.9302,103.784,test
test_0185,11,3.4555,0.9545,6.0244,1,0.9583,2.6573,test
test_0186,11,7.8084,2.1568,11.0572,0,0.9253,49.1436,test
test_0187,35,3.7032,1.0229,6.1454,1,0.9529,82.8926,test
test_0188,33,5.0784,1.4027,6.6082,1,0.9399,2.6395,test
test_0189,33,3.3914,0.9368,5.0869,1,0.9501,2.3004,test
test_0190,33,5.011,1.3841,7.6232,0,0.9293,66.2237,test
test_0191,11,2.1212,0.5859,3.7449,1,0.972,2.189,test
test_0192,33,5.1405,1.4199,7.9861,0,0.9184,112.0475,test
test_0193,35,5.5598,1.5357,8.7416,0,0.9364,2.6899,test
test_0194,49,4.4897,1.2401,7.0207,1,0.9489,106.9025,test
test_0195,35,2.68,0.7403,5.7948,1,0.9748,2.8753,test
test_0196,49,9.3204,2.5744,14.5603,0,0.8741,10.8356,test
test_0197,11,6.8097,1.8809,7.9237,0,0.8896,2.4543,test
test_0198,33,6.1611,1.7018,11.1861,0,0.9399,4.4244,test
test_0199,35,6.0573,1.6731,9.8808,0,0.8927,2.1949,test
